condition,pair,k,eigenvalue_floor_relative,train_variance_explained,switch_variance_outside_fraction,train_centered_energy_outside_fraction,centroid_residual_l2,train_residual_l2_p99,train_mahalanobis_p99,residual_inside_train_p99,mahalanobis_inside_train_p99,both_inside_train_p99,residual_l2_min,residual_l2_p05,residual_l2_p25,residual_l2_median,residual_l2_p75,residual_l2_p95,residual_l2_p99,residual_l2_max,mahalanobis_min,mahalanobis_p05,mahalanobis_p25,mahalanobis_median,mahalanobis_p75,mahalanobis_p95,mahalanobis_p99,mahalanobis_max
broad_075,fisher_kpp,256,1e-06,1.0,2.1348410660115983e-30,2.0639320738119938e-30,1.4815147859946972e-15,4.8548151624380736e-15,17.454345463717438,48,0,0,3.3626952714195063e-15,3.4370698145898938e-15,3.792968956843565e-15,3.97232822278151e-15,4.338739793517756e-15,5.1691187607112615e-15,5.8518664186374684e-15,6.2609623625077204e-15,22.360775539940025,36.681313795335676,58.33261230561113,71.79508352525957,84.42150828776363,130.6997109124729,146.33076431744155,151.57423854591676
broad_075,fisher_kpp,256,1e-08,1.0,2.1348410660115983e-30,2.0639320738119938e-30,1.4815147859946972e-15,4.8548151624380736e-15,20.376741168203786,48,0,0,3.3626952714195063e-15,3.4370698145898938e-15,3.792968956843565e-15,3.97232822278151e-15,4.338739793517756e-15,5.1691187607112615e-15,5.8518664186374684e-15,6.2609623625077204e-15,24.55246348147474,40.57903836875465,63.62171872638825,81.12340580058896,96.97263679435454,146.76684476264055,164.0209407517491,174.8062703143982
broad_075,fisher_kpp,256,1e-10,1.0,2.1348410660115983e-30,2.0639320738119938e-30,1.4815147859946972e-15,4.8548151624380736e-15,24.900133099867325,48,0,0,3.3626952714195063e-15,3.4370698145898938e-15,3.792968956843565e-15,3.97232822278151e-15,4.338739793517756e-15,5.1691187607112615e-15,5.8518664186374684e-15,6.2609623625077204e-15,27.350625620447317,45.53755721308968,74.04726687491312,97.3460732170837,117.65197831257959,181.63860741223587,269.5935676856869,313.45120190350644
broad_075,allen_cahn,1,1e-08,0.435502461145844,0.9757240886150659,0.0493616694842661,0.15655846754318642,2.7372229200915195,1.6884071636620561,48,0,0,0.3236980141801388,0.42558336408370623,0.5674650573754817,0.7145176729400771,0.8684786999293524,1.313669010826836,1.3996823385433266,1.4016323421019652,2.589999291405455,2.6190608801881528,2.730932074335846,2.8199411029580306,2.8901832111872916,2.922361001249532,2.950161294404428,2.96533618955427
broad_075,allen_cahn,2,1e-08,0.5874284096630703,0.6664389787104334,0.03371040640674439,0.12915415772292976,2.6340377196341556,2.70007038521673,48,2,2,0.303827462546927,0.3790681117468058,0.5205505366168807,0.5746960507228713,0.7361865517675594,0.9709045266702152,1.310405193641608,1.32780017297076,2.611615749023745,2.724637408356313,2.7891381567582725,2.8864687729944665,2.9325099541169637,2.98699005914662,3.1357119968208993,3.1842344380894794
broad_075,allen_cahn,5,1e-08,0.8659066069218526,0.044376252221325616,0.002401004574629381,0.056257023137921296,2.2369913716160905,4.045579813119398,48,48,48,0.05886136565312741,0.0867717327262262,0.12744424171574498,0.17591062330837556,0.21325213754747602,0.23887309268608697,0.25507285451525386,0.2580228126659209,2.7649654846009657,2.8947378185061425,2.9933419422425307,3.0449889549078146,3.160456691660089,3.296843035316413,3.344445930708688,3.3676485085893653
broad_075,allen_cahn,10,1e-08,0.9879523993094309,0.00027771031416842285,1.769562550997809e-05,0.0074087113602132075,0.9949690400654319,7.919009186282696,48,48,48,0.001336091062597364,0.001863828033551762,0.0065673602732657516,0.011480378065776385,0.017737197113774122,0.028411547124885986,0.029306744296357358,0.02993354212095743,2.849497141200467,2.9368827367648,3.0178440944269225,3.0950773847886137,3.1858767474313554,3.3523762576866085,3.4077777176049406,3.419138579092056
broad_075,allen_cahn,11,1e-08,0.9999379602922033,4.360093747242967e-06,2.3974657669401034e-07,0.0006011878531751674,0.062138573974678944,8.749257884376599,48,48,48,0.0006385298998002411,0.0007702544856467182,0.001126715825771568,0.0015692422937377763,0.0020578103896713136,0.002785226689194005,0.0029202159901429055,0.002939482151356232,2.8495203046795776,2.9392686145961386,3.0185707114459355,3.0955359291485527,3.1881740710269346,3.3543991109649465,3.4086542073911468,3.4207624946297477
broad_075,allen_cahn,16,1e-08,0.9999789959819705,2.5098211203574577e-07,2.0066158314424778e-08,0.0003211449973462344,0.027736045297375955,11.663935395933933,48,48,48,0.00027958970371515826,0.0002869744141845151,0.0003547345556541976,0.00045272150086541273,0.0006126287547629795,0.0007244794707186707,0.0008627536478670241,0.0009244116002903726,2.879619987145145,2.945448927747116,3.030153569301085,3.1133818936397812,3.202378018616739,3.386913949110427,3.4299180086129306,3.4482351487500758
broad_075,allen_cahn,32,1e-08,0.9999988224043596,2.719103223507211e-09,2.4320733339966106e-10,3.816452090164544e-05,0.0026422906254303714,17.013297211065247,48,48,48,3.999718264776638e-05,4.227222259486715e-05,4.5234570074436375e-05,5.296606672952827e-05,6.165942167300477e-05,7.964333954317053e-05,8.268357660748457e-05,8.42189821810666e-05,2.8892307149770646,2.948807353401916,3.0339313122842753,3.116343971540582,3.2133021872738623,3.396723352757498,3.4396084895096073,3.459202816824839
